,price,mileage,energy_consumption__co2_emissions,general_information__warranty,vehicle_age,model_encoded,model_rank_per_year,transmission_automatic,transmission_manual,energy_consumption__emission_class_Euro 5,energy_consumption__emission_class_Euro 6,energy_consumption__emission_class_Euro 6b,energy_consumption__emission_class_Euro 6c,energy_consumption__emission_class_Euro 6d,energy_consumption__emission_class_Euro 6d-TEMP,energy_consumption__emission_class_Euro 6d-TEMP-EVAP,energy_consumption__emission_class_Euro 6e,energy_consumption__fuel_diesel,energy_consumption__fuel_electric,energy_consumption__fuel_hybrid,energy_consumption__fuel_hybrid - diesel,energy_consumption__fuel_hybrid - petrol,energy_consumption__fuel_petrol,energy_consumption__fuel_petrol super,general_information__brand_audi,general_information__brand_bmw,general_information__brand_ford,general_information__brand_kia,general_information__brand_mercedes,general_information__brand_peugeot,general_information__brand_volkswagen,general_information__brand_volvo
62,24450.0,-0.3043449162647421,0.4138792643989793,0.0034603530597136587,-0.11297904046746587,-0.3602152872873795,-0.441239801129197,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
63,21599.0,-0.8292874184354181,0.4338459641014495,0.0034603530597136587,-0.8438030449151518,-1.0336183464816793,-0.2119642399211274,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
64,21899.0,-0.5327181997647477,0.4338459641014495,0.0034603530597136587,-0.8438030449151518,-1.0440553699303114,-0.2176221055276093,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
67,27490.0,-0.43820293843552793,0.4138792643989793,0.0034603530597136587,-0.47839104269130883,-0.34890922980182626,-0.2390456680609687,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
69,16499.0,-1.0995918023060403,0.21421226737427743,0.0034603530597136587,0.2524329617563771,-1.0336183464816793,-0.706124257896108,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
71,13399.0,0.19839235731460678,0.4737793635063899,0.0034603530597136587,1.348668968427906,-1.019670234671984,-0.8277739595062809,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
72,25690.0,-1.172610222704515,0.4338459641014495,-1.0111500583649125,-0.8438030449151518,-1.0440553699303114,-0.2176221055276093,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
73,28300.0,-1.3854262233509649,-0.06532152846030524,1.0180707644843399,-1.2092150471389949,-1.0336183464816793,0.6116357900371734,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
75,17399.0,-0.5804798754955409,0.19424556767180723,0.0034603530597136587,0.2524329617563771,-1.0440553699303114,-0.7083874041387007,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
76,23900.0,0.0987004169272863,0.4138792643989793,-1.0111500583649125,-0.47839104269130883,-0.27719930121732594,-0.2131299050992156,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
79,13490.0,-1.0042591705992256,0.034511970052045704,-1.0111500583649125,0.9832569662040631,-1.0474175871258027,-0.8023872639240622,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
80,25998.0,-0.7780927871187263,0.4138792643989793,0.0034603530597136587,-0.8438030449151518,-0.34121257700928953,0.16338595528619085,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
81,20950.0,-0.5094503896825471,0.19424556767180723,0.0034603530597136587,-0.47839104269130883,-1.0284899929718103,-0.4846442109590753,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
82,17985.0,0.10910826640199427,0.15431216826686683,0.0034603530597136587,-0.11297904046746587,-1.019670234671984,-0.6199836491331335,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
83,18895.0,0.10297798857003278,0.15431216826686683,0.0034603530597136587,-0.11297904046746587,-1.0440553699303114,-0.6265931877035188,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
85,40710.0,-1.2787321433955818,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-0.3623850786641521,0.15190843303036738,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
86,22950.0,-0.5779187816457437,0.4138792643989793,1.0180707644843399,-0.8438030449151518,-0.3623850786641521,0.15190843303036738,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
87,19950.0,-1.105068183835926,0.21421226737427743,0.0034603530597136587,-0.47839104269130883,-1.0284899929718103,-0.4846442109590753,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
88,11250.0,0.9207025599951898,-0.20508842637759658,-1.0111500583649125,0.61784496398022,-1.0336183464816793,-0.7610309265599946,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
89,19990.0,0.08556799952726213,0.034511970052045704,0.0034603530597136587,-0.47839104269130883,-1.019670234671984,-0.4814567755510352,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
91,17599.0,-0.8953854363035896,-0.005421429352894675,0.0034603530597136587,0.2524329617563771,-1.0474175871258027,-0.709116461541916,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
92,17990.0,-1.0021612532967323,0.27411236648168796,0.0034603530597136587,-0.8438030449151518,-1.0336183464816793,-0.2119642399211274,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
93,25998.0,-0.8370251913433162,0.4138792643989793,0.0034603530597136587,-0.8438030449151518,-0.27719930121732594,0.1980872772908908,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
94,14699.0,0.009443571693926948,0.17427886796933703,0.0034603530597136587,0.2524329617563771,-1.0440553699303114,-0.7083874041387007,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
95,15599.0,0.5890681521256995,0.4737793635063899,0.0034603530597136587,0.61784496398022,-1.019670234671984,-0.7585105227152317,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
96,17399.0,-0.8813811571674642,0.33401246558909853,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
97,22495.0,-0.5745675630976047,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-1.0440553699303114,-0.2176221055276093,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
98,23900.0,-0.9890833272552144,0.034511970052045704,-1.0111500583649125,-0.47839104269130883,-1.0440553699303114,-0.49026949364488226,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
100,10899.0,-0.7575222992825889,-0.24502182578253695,0.0034603530597136587,1.348668968427906,-1.019670234671984,-0.8277739595062809,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
101,20899.0,-0.7559692955651587,0.3739458649940389,0.0034603530597136587,-0.47839104269130883,-1.0284899929718103,-0.4846442109590753,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
102,15199.0,-0.582496055760275,0.13434546856439666,0.0034603530597136587,-0.11297904046746587,-1.019670234671984,-0.6199836491331335,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
103,13399.0,-0.01210776059532435,0.15431216826686683,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
104,15998.0,0.14730670871492765,-0.12522162756771582,0.0034603530597136587,0.61784496398022,-1.0284899929718103,-0.7601042404192517,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
106,16490.0,-0.4116384011636948,0.13434546856439666,0.0034603530597136587,-0.47839104269130883,-1.019670234671984,-0.4814567755510352,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
108,22490.0,-0.6931680048866198,0.034511970052045704,-1.0111500583649125,-0.8438030449151518,-0.27719930121732594,0.1980872772908908,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
109,19850.0,-0.5684645309448965,0.15431216826686683,0.0034603530597136587,-0.8438030449151518,-1.0440553699303114,-0.2176221055276093,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
111,27340.0,-0.900671098078703,0.4138792643989793,-1.0111500583649125,-0.8438030449151518,-0.27719930121732594,0.1980872772908908,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
112,18490.0,0.36347392790951655,0.034511970052045704,0.0034603530597136587,0.2524329617563771,-1.0440553699303114,-0.7083874041387007,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
113,12950.0,0.33508393012772153,0.27411236648168796,0.0034603530597136587,0.9832569662040631,-1.0440553699303114,-0.8018665086360515,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
114,13899.0,-0.8737251212973257,0.7932465587459129,0.0034603530597136587,1.348668968427906,-1.0336183464816793,-0.829664262389853,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
116,22950.0,-1.0871677725665982,0.4338459641014495,0.0034603530597136587,-0.8438030449151518,-1.0440553699303114,-0.2176221055276093,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
117,39575.0,-1.272574619884367,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-0.34890922980182626,0.15921363284826115,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
119,18650.0,-0.2941550322240594,0.35397916529156875,0.0034603530597136587,-0.47839104269130883,-1.0474175871258027,-0.4914845893169077,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
122,30900.0,-1.094142666455408,-1.7824577028727415,-1.0111500583649125,-0.8438030449151518,-0.27719930121732594,0.1980872772908908,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
123,21900.0,-0.6092513127868803,0.034511970052045704,-1.0111500583649125,-0.47839104269130883,-1.0284899929718103,-0.4846442109590753,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
124,20995.0,-0.6678840145396853,0.034511970052045704,-1.0111500583649125,0.2524329617563771,-1.019670234671984,-0.7030997732823925,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
125,22495.0,-0.4825044129011697,0.034511970052045704,-1.0111500583649125,-0.11297904046746587,-1.0284899929718103,-0.6223742256891635,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
126,13990.0,0.763168042553406,0.034511970052045704,-1.0111500583649125,0.2524329617563771,-1.0336183464816793,-0.706124257896108,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
127,23000.0,-0.6659223256334575,0.4338459641014495,1.0180707644843399,-0.47839104269130883,-1.0474175871258027,-0.4914845893169077,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
128,18790.0,1.0440709956535081,0.054478669754515895,0.0034603530597136587,0.2524329617563771,-1.0474175871258027,-0.709116461541916,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
129,13950.0,-0.02649347924099399,0.034511970052045704,0.0034603530597136587,0.61784496398022,-1.0284899929718103,-0.7601042404192517,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
