,price_eur,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__brand,general_information__model,general_information__warranty,vehicle_history__year,model_clean,energy_consumption__fuel_clean,model,brand_rank,emission_rank,fuel_rank,transmission_rank,model_rank,car_age,mileage_per_year,log_mileage,log_mileage_per_year,is_luxury,is_premium,is_modern,age_mileage_interaction,brand_model_interaction
3649,34990,22600.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-150-kw-204-ps-58-kwh-1-speed-automatic-transmission/id/4865386,1,volkswagen,id3,12,2024.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,1.0,11300.0,10.025749432069084,9.332646496360152,0,1,1,11300.0,6.314363365705859
3650,34990,28351.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/77kwh204pkpanodaktrekhaakgpscarplaytopwaybe/id/4865600,1,volkswagen,id5,12,2023.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,2.0,9450.333333333334,10.252452853404808,9.153911104009467,0,1,1,18900.666666666668,6.415947328198573
3651,25999,69000.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/14tsi-tsi-dsg-r-line-150pk-69000km/id/4864573,125,volkswagen,tiguan allspace,12,2018.0,tiguan allspace,petrol,tiguan allspace,6,5.0,7.0,8,1.0493613994547253,7.0,8625.0,11.141876276228,9.062536177207788,0,1,0,60375.0,6.296168396728351
3655,40965,45950.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-204-58-kwh-pro-life-navi-led-2-tone/id/4863985,0,volkswagen,id3,3,2021.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,4.0,9190.0,10.735330890332664,9.12598002335811,0,1,1,36760.0,6.314363365705859
3659,36990,6000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-59-kwh-150-kw-204-pk/id/4862517,0,volkswagen,id3,24,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,6000.0,8.699681400989514,8.699681400989514,0,1,1,0.0,6.314363365705859
3663,35999,73250.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/van/volkswagen/idbuzz-cargo/id-cargo/id/4859897,125,volkswagen,idbuzz cargo,0,2023.0,idbuzz cargo,electric,idbuzz cargo,6,7.0,10.0,8,1.0741857809230666,2.0,24416.666666666668,11.201647178663261,10.103062193003945,0,1,1,48833.333333333336,6.4451146855384
3666,37990,20000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-performance-77-kwh-150-kw-204-pk-1-versnellingen/id/4859855,1,volkswagen,id4,24,2023.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,2.0,6666.666666666667,9.90353755128617,8.805025252619144,0,1,1,13333.333333333334,6.381874115289538
3667,17990,108300.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-58-kwh-pro-performance-tech/id/4859852,2,volkswagen,id3,12,2020.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,5.0,18050.0,11.592669666556795,9.800956363888462,0,1,1,90250.0,6.314363365705859
3671,30990,94724.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/7-zitplaatsen-15-tsi-150-pk-dsg-automaat/id/4857741,164,volkswagen,tiguan allspace,12,2022.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,3.0,23681.0,11.458733235886802,10.072470544890901,0,1,1,71043.0,6.296168396728351
3672,28990,15700.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-58-kwh-150-kw-204-pk-1-versnellingen/id/4858048,0,volkswagen,id3,24,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,5233.333333333333,9.661479683575521,8.562994767216844,0,1,1,10466.666666666666,6.314363365705859
3673,33990,16600.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/pro-77-kwh-128-kw-174-pk-1-versnelling/id/4858049,0,volkswagen,id5,24,2022.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,3.0,4150.0,9.717218213494077,8.33110454805304,0,1,1,12450.0,6.415947328198573
3674,29499,69384.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-act-highline/id/4858452,172,volkswagen,tiguan allspace,12,2021.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,4.0,13876.8,11.14742598480511,9.538045720057193,0,1,1,55507.2,6.296168396728351
3681,34500,21434.0,automatic,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/7-zit-allspace-trekhaak-automaat-dsg/id/4856833,125,volkswagen,tiguan allspace,12,2024.0,tiguan allspace,petrol,tiguan allspace,6,7.0,7.0,8,1.0493613994547253,1.0,10717.0,9.972780379032077,9.279679850054796,0,1,1,10717.0,6.296168396728351
3686,29990,121400.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/r-line-business-premium-15-tsi-act-opf-110-kw-150-pk-7-versnellingen-dsg/id/4855324,172,volkswagen,tiguan allspace,12,2021.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,4.0,24280.0,11.7068543948059,10.097449430486758,0,1,1,97120.0,6.296168396728351
3687,36990,1589.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-59-kwh-150-kw-204-pk-demo/id/4855678,1,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,1589.0,7.371489295214277,7.371489295214277,0,1,1,0.0,6.314363365705859
3688,36990,1589.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-performance-business-59-kwh-150-kw-204-pk-demo/id/4855817,2,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,1589.0,7.371489295214277,7.371489295214277,0,1,1,0.0,6.314363365705859
3698,30990,11610.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-life-business-58-kwh-204-pk-acc-pdc-apple-carplay/id/4851890,0,volkswagen,id3,12,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,3870.0,9.359708203627006,8.261268150577648,0,1,1,7740.0,6.314363365705859
3701,43990,99551.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/multivan/t7-14-tsi-150cv-ehybrid-218cv-energetic-dsg-7-pl/id/4852873,34,volkswagen,multivan,12,2022.0,multivan,petrol,multivan,6,8.0,7.0,8,1.099407167243165,3.0,24887.75,11.508435399697364,10.122171173128244,0,1,1,74663.25,6.596443003458989
3702,43990,99551.0,automatic,Euro 6d,hybrid - petrol,https://gocar.be/en/cars/volkswagen/multivan/t7-14-tsi-150cv-ehybrid-218cv-energetic-dsg-7-pl/id/4852908,34,volkswagen,multivan,12,2022.0,multivan,hybrid - petrol,multivan,6,8.0,9.0,8,1.099407167243165,3.0,24887.75,11.508435399697364,10.122171173128244,0,1,1,74663.25,6.596443003458989
3703,38691,5000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-s-business-79-kwh-150-kw-204-ch/id/4840651,0,volkswagen,id3,12,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,5000.0,8.517393171418904,8.517393171418904,0,1,1,0.0,6.314363365705859
3704,43990,5000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-business-77-kwh-210-kw-286-ch/id/4840652,0,volkswagen,id4,12,2025.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,0.0,5000.0,8.517393171418904,8.517393171418904,0,1,1,0.0,6.381874115289538
3705,43990,5000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id4/pro-business-sport-77-kwh-210-kw-286-pk/id/4836307,0,volkswagen,id4,12,2025.0,id4,electric,id4,6,7.0,10.0,8,1.0636456858815897,0.0,5000.0,8.517393171418904,8.517393171418904,0,1,1,0.0,6.381874115289538
3706,43970,21644.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id7/pro-business-premium-77-kwh-210-kw-286-pk-elektrische-kofferklep-360-graden-camera/id/4838571,0,volkswagen,id7,12,2023.0,id7,electric,id7,6,7.0,10.0,8,1.0865464691150306,2.0,7214.666666666667,9.982529759876082,8.884009867031747,0,1,1,14429.333333333334,6.519278814690184
3707,44990,8000.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-id3-gtx/id/4837799,0,volkswagen,id3,24,2025.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,0.0,8000.0,8.987321812850125,8.987321812850125,0,1,1,0.0,6.314363365705859
3708,31990,113680.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/iii-allspace-life-7-placesboite-autocamera/id/4832234,134,volkswagen,tiguan allspace,12,2022.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,3.0,28420.0,11.64115155935439,10.25488358752045,0,1,1,85260.0,6.296168396728351
3711,34885,61363.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id5/77kwh-150kw-pro-performance-carplay-acc-navi/id/4830585,125,volkswagen,id5,0,2023.0,id5,electric,id5,6,7.0,10.0,8,1.0693245546997623,2.0,20454.333333333332,11.024578622964665,9.925998926164887,0,1,1,40908.666666666664,6.415947328198573
3713,29990,23262.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id3/id3-pro-life-58-kwh-204-pk/id/4827535,0,volkswagen,id3,12,2023.0,id3,electric,id3,6,7.0,10.0,8,1.0523938942843098,2.0,7754.0,10.054619394540044,8.956093075610639,0,1,1,15508.0,6.314363365705859
3714,36390,82442.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-150pk-dsg-life-7p-navigatie-climate-control-trekhaak-virtual-cockpit-electrisch-te-openen-achterklep-camera/id/4827982,164,volkswagen,tiguan allspace,0,2022.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,3.0,20610.5,11.319862424444183,9.933604451439939,0,1,1,61831.5,6.296168396728351
3715,23900,132000.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-comfortline-dsg7plnavicameragarantie/id/4828254,125,volkswagen,tiguan allspace,12,2020.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,5.0,22000.0,11.790564777297387,9.99884318585288,0,1,1,110000.0,6.296168396728351
3716,43990,39846.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/volkswagen/id7/ed23qk-1-gpa2pa2-gpbcpbc-gpbmpbm-gpd1pd1-gw60w60/id/4827559,0,volkswagen,id7,12,2023.0,id7,electric,id7,6,7.0,10.0,8,1.0865464691150306,2.0,13282.0,10.592802399075849,9.494240301132503,0,1,1,26564.0,6.519278814690184
3717,25999,99000.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/volkswagen/tiguan-allspace/15-tsi-act-highline-opf-dsg-virtual-cockpit/id/4826829,130,volkswagen,tiguan allspace,0,2020.0,tiguan allspace,petrol,tiguan allspace,6,8.0,7.0,8,1.0493613994547253,5.0,16500.0,11.502885230075814,9.711176264112805,0,1,1,82500.0,6.296168396728351
